City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,saint-francois,46.4154,3.9054,280.84,87,broken clouds,1.54,FR,1668978468
243,sinnamary,5.3833,-52.95,300.02,78,overcast clouds,4.85,GF,1668978469
244,la macarena,2.1837,-73.7849,302.87,64,overcast clouds,2.09,CO,1668978470
245,nome,64.5011,-165.4064,272.19,80,broken clouds,0.0,US,1668978470
246,sisimiut,66.9395,-53.6735,268.97,93,light snow,8.11,GL,1668978471
247,port pirie,-33.1833,138.0167,286.81,56,overcast clouds,8.77,AU,1668978472
248,tigil,57.8,158.6667,264.66,96,light snow,2.51,RU,1668978472
249,bida,9.0833,6.0167,300.9,36,clear sky,1.55,NG,1668978473
250,quatre cocos,-20.2078,57.7625,296.21,78,clear sky,2.14,MU,1668978474
251,rundu,-17.9333,19.7667,300.06,26,scattered clouds,2.64,NA,1668978475
252,souillac,-20.5167,57.5167,296.36,78,scattered clouds,2.06,MU,1668978475
253,puerto carreno,6.189,-67.4859,302.11,70,scattered clouds,5.59,CO,1668978476
254,curup,-3.4667,102.5333,291.54,97,light rain,0.71,ID,1668978477
255,yatou,37.15,122.3833,286.46,80,overcast clouds,1.29,CN,1668978314
256,nohar,29.1833,74.7667,290.98,32,clear sky,3.06,IN,1668978478
257,cidreira,-30.1811,-50.2056,294.8,80,overcast clouds,9.95,BR,1668978478
258,ambatolampy,-19.3833,47.4167,288.82,89,few clouds,1.59,MG,1668978479
259,alvorada,-12.48,-49.1247,300.44,59,overcast clouds,0.56,BR,1668978480
260,inta,66.0317,60.1659,272.9,99,snow,6.33,RU,1668978481
261,kattivakkam,13.2167,80.3167,297.2,93,overcast clouds,7.83,IN,1668978481
262,giyani,-23.3025,30.7187,293.41,61,scattered clouds,3.92,ZA,1668978482
263,garmsar,35.2182,52.3409,286.51,41,clear sky,2.02,IR,1668978483
264,rekhasim,32.75,35.1,294.59,51,scattered clouds,4.53,IL,1668978483
265,hofn,64.2539,-15.2082,280.19,82,overcast clouds,3.02,IS,1668978484
266,maua,-23.6678,-46.4614,294.46,85,broken clouds,3.44,BR,1668978485
267,natitingou,10.3042,1.3796,298.68,26,overcast clouds,1.99,BJ,1668978486
268,hohhot,40.8106,111.6522,272.51,47,scattered clouds,1.85,CN,1668978487
269,khanpur,28.6453,70.6567,291.62,32,clear sky,2.8,PK,1668978488
270,martapura,-3.4167,114.85,298.2,100,overcast clouds,2.57,ID,1668978488
271,deputatskiy,69.3,139.9,245.18,90,overcast clouds,0.4,RU,1668978489
272,san luis rio colorado,32.4631,-114.7767,296.98,12,clear sky,6.16,MX,1668978490
273,kungtad,5.5572,120.8472,300.35,77,overcast clouds,2.0,PH,1668978491
274,sao jose do belmonte,-7.8614,-38.7597,303.86,29,overcast clouds,2.03,BR,1668978492
275,sobolevo,54.4299,31.8996,266.62,90,overcast clouds,3.97,RU,1668978492
276,bullhead city,35.1478,-114.5683,294.23,16,clear sky,9.77,US,1668978493
277,marystown,47.1666,-55.1483,277.95,95,light rain,13.36,CA,1668978390
278,lethem,3.3803,-59.7968,302.9,59,overcast clouds,3.45,GY,1668978495
279,shaunavon,49.6501,-108.4181,273.22,69,scattered clouds,3.92,CA,1668978495
280,hambantota,6.1241,81.1185,297.28,88,clear sky,2.56,LK,1668978496
281,zonguldak,41.25,31.8333,287.04,63,overcast clouds,2.9,TR,1668978496
282,vao,-22.6667,167.4833,296.51,76,scattered clouds,4.72,NC,1668978497
283,ucluelet,48.9329,-125.5528,280.98,77,overcast clouds,3.24,CA,1668978498
284,shiloh,38.5614,-89.8973,279.0,32,clear sky,3.6,US,1668978499
285,bom jesus,-9.0744,-44.3586,297.79,73,overcast clouds,1.53,BR,1668978499
286,zacapu,19.8333,-101.7167,292.95,52,overcast clouds,0.76,MX,1668978500
287,sept-iles,50.2001,-66.3821,269.85,83,overcast clouds,0.45,CA,1668978501
288,pervoye maya,56.164,44.7196,267.99,95,overcast clouds,0.58,RU,1668978502
289,berlevag,70.8578,29.0864,275.15,80,broken clouds,5.14,NO,1668978502
